waypoint1	waypoint2	distance_m	duration_s
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	391220	16744
Spokane, WA	Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	1161324	41971
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Glacier National Park	2294935	77666
Manzanar, Manzanar Reward Rd, California	Great Sand Dunes Visitor Center, Mosca, CO	1508840	55859
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	803889	32317
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	2376953	80486
Tillamook, OR	Lafayette, LA	3975349	132906
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Oljato-Monument Valley, UT	1314427	45647
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Savannah, GA	4183587	135958
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Atlanta, GA	3708772	122705
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	St. Louis, MO	2974269	98125
Olympia, WA	Chinle, AZ	2093564	70946
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Co Road 7515, Bloomfield, NM 87413	1555783	53844
Glacier National Park	Silverton, CO	1691127	58504
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Kansas City, MO	2954989	97335
Glacier National Park	Chinle, AZ	1738658	59190
Bandon, OR	Great Sand Dunes Visitor Center, Mosca, CO	2312043	83788
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	C R 268A, Montezuma Creek, UT 84534	1304120	46865
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Teasdale, UT	961834	34775
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Bandon, OR	245370	10736
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Seattle, WA	2265065	75204
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	679180	27375
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	St. Louis, MO	2790060	89399
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	494831	21227
Vicksburg, MS	Seattle, WA	4008234	130672
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Tahoe City, CA	621163	25802
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Albuquerque, NM	1622116	55172
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Black Canyon of the Gunnison National Park, Montrose, CO	1573239	55200
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Austin, TX	2641061	85452
Spokane, WA	Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	1179748	44144
Tillamook, OR	Tupelo, MS	3901237	130560
Glacier National Park	Natural Bridges Rd, Lake Powell, UT 84533	1577658	54074
Page, AZ	Glacier National Park	1666423	55069
Glacier National Park	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	3447152	116174
Manzanar, Manzanar Reward Rd, California	Chimayo, NM	1489317	47997
Tahoe City, CA	Charleston, SC	4409272	142199
Manzanar, Manzanar Reward Rd, California	Terlingua, TX	2014672	66875
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	New Orleans, LA	3736932	123799
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Chambers, AZ	1178997	41691
Tillamook, OR	Black Canyon of the Gunnison National Park, Montrose, CO	1918229	65698
