waypoint1	waypoint2	distance_m	duration_s
Glacier National Park	Kansas City, MO	2246534	75319
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Tillamook, OR	551629	25675
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Asheville, NC	3907741	129370
Tillamook, OR	St. Louis, MO	3403987	111754
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	538656	23468
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Fajada Butte View Point, Nageezi, NM 87037	1811462	66322
Glacier National Park	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1558808	53736
Tahoe City, CA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3867654	125055
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Las Cruces, NM	2324373	77003
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Lafayette, LA	2781039	89982
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Seattle, WA	1691453	61468
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Charleston, SC	4180648	136418
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Co Road 7515, Bloomfield, NM 87413	1619353	56922
Asheville, NC	Seattle, WA	4315050	141247
Bandon, OR	Chambers, AZ	2092191	72595
Oklahoma City, OK	Seattle, WA	3190562	102794
Manzanar, Manzanar Reward Rd, California	Nashville, TN	3305839	105530
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Bryce Canyon National Park Visitor Center, Bryce, UT	1202261	42612
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Linville, NC	4034674	132402
Spokane, WA	Tillamook, OR	683446	24136
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	San Antonio, TX	3071373	97040
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	C R 268A, Montezuma Creek, UT 84534	1463151	51655
Bandon, OR	Savannah, GA	4808389	160585
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Co Road 7515, Bloomfield, NM 87413	1113686	38707
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Manzanar, Manzanar Reward Rd, California	485332	20864
Page, AZ	Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	1348061	48980
Olympia, WA	Grand Canyon National Park	2010905	67844
Tahoe City, CA	Silverton, CO	1556399	53005
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1576981	57566
Manzanar, Manzanar Reward Rd, California	Albuquerque, NM	1351109	43261
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Bandon, OR	969627	36784
Tillamook, OR	Co Road 7515, Bloomfield, NM 87413	2085137	73010
Chambers, AZ	Seattle, WA	2158808	73149
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Bryce Canyon National Park Visitor Center, Bryce, UT	825424	30483
Glacier National Park	Lincoln, NE	2057042	66895
Tillamook, OR	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1955737	68994
Tahoe City, CA	Black Canyon of the Gunnison National Park, Montrose, CO	1480816	49145
Olympia, WA	St. Louis, MO	3417766	112275
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Oljato-Monument Valley, UT	1995664	68216
Black Canyon of the Gunnison National Park, Montrose, CO	Seattle, WA	1919689	64534
Natural Bridges Rd, Lake Powell, UT 84533	Seattle, WA	1880585	63747
Tillamook, OR	Richmond, VA	4723410	154418
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Asheville, NC	3984695	130199
Manzanar, Manzanar Reward Rd, California	Chattanooga, TN	3507184	111839
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	4030115	131546
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Charlottesville, VA	4453702	145891
Spokane, WA	Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	1581062	59385
Olympia, WA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1769309	58886
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Austin, TX	2229868	74810
Glacier National Park	Great Sand Dunes Visitor Center, Mosca, CO	1879198	62646
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Chimayo, NM	2377991	79398
Olympia, WA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	4318218	143848
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Seattle, WA	1070432	37667
Manzanar, Manzanar Reward Rd, California	Memphis, TN	2965057	94430
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	485506	17442
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Charleston, SC	4343873	143042
Page, AZ	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	659467	22867
Glacier National Park	Savannah, GA	3930720	129477
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	New Orleans, LA	3309285	108561
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1784833	61917
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Chattanooga, TN	3637666	119842
Grand Canyon National Park	Seattle, WA	1959820	65976
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Silverton, CO	2061557	73291
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Silverton, CO	1718860	59496
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Atlanta, GA	3343630	108397
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Oljato-Monument Valley, UT	858389	29844
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Asheville, NC	4048265	133278
Olympia, WA	Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	1514614	53436
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Chambers, AZ	1583944	54213
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Memphis, TN	3095539	102433
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Richmond, VA	4858456	160363
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1436457	53659
Tahoe City, CA	Savannah, GA	4320442	138564
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Great Sand Dunes Visitor Center, Mosca, CO	2287278	81719
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1057374	38684
Flagstaff, AZ	Manzanar, Manzanar Reward Rd, California	827183	27075
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	1170732	44628
Bandon, OR	Tupelo, MS	4019072	138241
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Chambers, AZ	1319522	45598
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Teasdale, UT	1275102	43826
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Chimayo, NM	1696754	56829
Glacier National Park	Chimayo, NM	1985728	69569
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Richmond, VA	4057481	131152
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Tulsa, OK	3275125	107241
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Chattanooga, TN	3272524	105534
Olympia, WA	Silverton, CO	2046034	70260
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Chinle, AZ	886037	31202
Bandon, OR	Vicksburg, MS	4011451	134180
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	New Orleans, LA	3408940	112106
Tillamook, OR	Kansas City, MO	3006368	98747
Tahoe City, CA	New Orleans, LA	3574471	117308
Manzanar, Manzanar Reward Rd, California	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3649481	117580
Tillamook, OR	Silverton, CO	1993812	69559
Bandon, OR	Chimayo, NM	2380922	86424
Olympia, WA	Manzanar, Manzanar Reward Rd, California	1441699	53154
Olympia, WA	Black Canyon of the Gunnison National Park, Montrose, CO	1970451	66399
Glacier National Park	Charlottesville, VA	3647741	121205
Bandon, OR	Oljato-Monument Valley, UT	2049872	73098
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Yellowstone National Park Visitor Center	1812087	63023
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Silverton, CO	1677877	60566
Tillamook, OR	Nashville, TN	3898449	127524
Flagstaff, AZ	Tahoe City, CA	1201083	40985
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Tulsa, OK	2516933	83844
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	982981	35218
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Co Road 7515, Bloomfield, NM 87413	1478828	53015
Bandon, OR	Bryce Canyon National Park Visitor Center, Bryce, UT	1662518	63383
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Seattle, WA	1850211	60306
Manzanar, Manzanar Reward Rd, California	Austin, TX	2453600	79001
Bandon, OR	Terlingua, TX	3152812	104722
Page, AZ	Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	1690193	62957
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Terlingua, TX	2672635	87628
Tahoe City, CA	Fajada Butte View Point, Nageezi, NM 87037	1649001	59831
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Atlanta, GA	4466964	146103
Savannah, GA	Seattle, WA	4641213	150981
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	New Orleans, LA	4150063	134289
Tillamook, OR	San Antonio, TX	3449488	117444
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1354381	49697
Olympia, WA	Tupelo, MS	3915017	131082
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Fajada Butte View Point, Nageezi, NM 87037	2164707	77198
Spokane, WA	Seattle, WA	448547	14950
Richmond, VA	Seattle, WA	4604270	150256
Manzanar, Manzanar Reward Rd, California	Lafayette, LA	3015699	96286
Bandon, OR	Oklahoma City, OK	3261502	109462
Manzanar, Manzanar Reward Rd, California	Atlanta, GA	3578290	114701
Tillamook, OR	Little Rock, AR	3652655	118469
Spokane, WA	Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	1728353	63324
Olympia, WA	Las Cruces, NM	2719558	91240
Page, AZ	Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	956440	33845
Bandon, OR	Albuquerque, NM	2394785	82169
Tillamook, OR	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	4237766	139395
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	906027	34390
Manzanar, Manzanar Reward Rd, California	Savannah, GA	3976150	127126
Olympia, WA	Tahoe City, CA	1120752	41526
Bandon, OR	Linville, NC	4533356	153065
Tahoe City, CA	Great Sand Dunes Visitor Center, Mosca, CO	1782121	61433
St. Louis, MO	Seattle, WA	3353174	109914
Bandon, OR	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1809597	63986
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Grand Canyon National Park	627528	22049
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Bryce Canyon National Park Visitor Center, Bryce, UT	1061736	38705
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	San Antonio, TX	3277643	105850
Tahoe City, CA	Bandon, OR	836046	31836
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Silverton, CO	1158269	41683
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Teasdale, UT	777626	26049
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Charleston, SC	4203348	139135
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	4439484	149271
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Oklahoma City, OK	3106500	101955
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Seattle, WA	1610136	56718
Page, AZ	Bandon, OR	1856165	67385
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Asheville, NC	4500589	149127
Manzanar, Manzanar Reward Rd, California	Glacier National Park	1900200	65380
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Nashville, TN	3690798	119675
Tillamook, OR	Bryce Canyon National Park Visitor Center, Bryce, UT	1780112	59439
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Co Road 7515, Bloomfield, NM 87413	2237020	76413
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Austin, TX	3111563	99755
Tahoe City, CA	Chimayo, NM	1862285	62031
Tahoe City, CA	Atlanta, GA	3921723	126065
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Silverton, CO	1614307	57487
Glacier National Park	Richmond, VA	3749297	124459
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Tillamook, OR	1121652	43365
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	3823936	126798
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Grand Canyon National Park	969970	33641
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3920488	129491
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Asheville, NC	3885040	126654
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Tillamook, OR	1487577	55552
Bandon, OR	Austin, TX	3591740	116848
C R 268A, Montezuma Creek, UT 84534	Seattle, WA	1917429	65632
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Black Canyon of the Gunnison National Park, Montrose, CO	1713763	59107
Tillamook, OR	Carlsbad, NM	2756410	94645
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Seattle, WA	1350328	49828
Olympia, WA	Natural Bridges Rd, Lake Powell, UT 84533	1932564	65830
Olympia, WA	Asheville, NC	4379322	143703
Charleston, SC	Seattle, WA	4728203	154677
Olympia, WA	Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	1523492	53479
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Tulsa, OK	2593888	84673
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Vicksburg, MS	3503204	115798
Olympia, WA	Albuquerque, NM	2362980	80582
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	C R 268A, Montezuma Creek, UT 84534	1386196	50826
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Glacier National Park	1618507	59811
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Albuquerque, NM	1558546	52094
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Richmond, VA	4515759	146569
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Little Rock, AR	3030992	99644
Bandon, OR	Silverton, CO	2086321	75360
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Great Sand Dunes Visitor Center, Mosca, CO	1815004	65443
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Las Cruces, NM	1295140	43552
Tahoe City, CA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1279675	41631
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	San Antonio, TX	2600871	82737
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Manzanar, Manzanar Reward Rd, California	550022	20425
Bandon, OR	Seattle, WA	673780	24802
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Nashville, TN	4033494	133469
Flagstaff, AZ	Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	1715365	58585
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Teasdale, UT	1338671	46904
Olympia, WA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	4251545	139917
Bandon, OR	Lincoln, NE	2818632	96029
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Indianola, MS	3567318	118438
Olympia, WA	Yellowstone National Park Visitor Center	1304415	46170
Page, AZ	Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	1156100	40875
Tillamook, OR	Chambers, AZ	2158023	74478
Olympia, WA	Fajada Butte View Point, Nageezi, NM 87037	2187762	76693
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Las Cruces, NM	1660792	55470
Tahoe City, CA	Austin, TX	2837496	95149
Manzanar, Manzanar Reward Rd, California	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1101451	36959
Olympia, WA	C R 268A, Montezuma Creek, UT 84534	1968801	67477
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Lincoln, NE	2294316	76152
Tillamook, OR	Yellowstone National Park Visitor Center	1477837	51707
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Seattle, WA	1717905	57014
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Charlottesville, VA	4184246	137313
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	C R 268A, Montezuma Creek, UT 84534	1526721	54734
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Natural Bridges Rd, Lake Powell, UT 84533	1489016	54329
Tahoe City, CA	Oljato-Monument Valley, UT	1384786	49680
Charlottesville, VA	Seattle, WA	4513629	147098
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Chambers, AZ	1156297	38975
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Bandon, OR	1020466	38805
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Memphis, TN	2730397	88125
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	4096787	135477
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Charleston, SC	4280303	139964
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Lincoln, NE	2204014	70630
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Vicksburg, MS	3238781	107184
Albuquerque, NM	Seattle, WA	2311076	78743
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Chattanooga, TN	3778191	123750
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Glacier National Park	1943517	62701
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Yellowstone National Park Visitor Center	1354173	46652
Tillamook, OR	Fajada Butte View Point, Nageezi, NM 87037	2135541	75992
Spokane, WA	Glacier National Park	441521	16546
Glacier National Park	Austin, TX	2975858	99000
Tupelo, MS	Seattle, WA	3851896	128825
